,season,year,week,age_0_4,age_5_24,age_25_49,age_25_64,age_50_64,age_65,ilitotal,total_patients,num_of_providers,unweighted_ili,weighted_ili,Date,Open,High,Low,Close,Adj Close,Volume
60,2009-10,2010,10,4612,5270,2660.0,,,700,14354,768702,1946,0.018673,0.0189659,2010-03-12,10611.769531,10644.950195,10594.839844,10624.69043,10624.69043,166140000
61,2009-10,2010,11,4063,4466,2468.0,,,628,12601,741293,1933,0.0169987,0.017518099999999998,2010-03-19,10780.0,10819.900391,10694.219727,10741.980469,10741.980469,434190000
62,2009-10,2010,12,3625,4108,2097.0,,,534,11191,747358,1917,0.0149741,0.015263200000000001,2010-03-26,10841.290039,10909.379883,10816.429688,10850.360352,10850.360352,175490000
63,2009-10,2010,14,3090,2933,1718.0,,,428,8813,730068,1850,0.0120715,0.012231299999999999,2010-04-09,10926.919922,11000.980469,10926.919922,10997.349609,10997.349609,150660000
64,2009-10,2010,15,3117,3110,1572.0,,,404,8801,749563,1831,0.0117415,0.011775399999999998,2010-04-16,11143.660156,11153.790039,10973.919922,11018.660156,11018.660156,373950000
65,2009-10,2010,16,2921,3044,1461.0,,,414,8362,719580,1765,0.011620700000000001,0.010911200000000001,2010-04-23,11132.179688,11205.639648,11105.650391,11204.280273,11204.280273,207380000
66,2009-10,2010,17,3081,2972,1435.0,,,395,8440,720054,1755,0.011721299999999999,0.0111958,2010-04-30,11168.230469,11197.929688,10999.69043,11008.610352,11008.610352,255130000
67,2009-10,2010,18,2781,2901,1385.0,,,365,7914,705551,1710,0.011216799999999999,0.010816899999999999,2010-05-07,10519.419922,10579.120117,10241.230469,10380.429688,10380.429688,428730000
68,2009-10,2010,19,2851,2645,1363.0,,,347,7697,669414,1664,0.0114981,0.011249700000000001,2010-05-14,10780.679688,10780.75,10537.25,10620.160156,10620.160156,256500000
69,2009-10,2010,20,2816,2553,1364.0,,,372,7603,670887,1624,0.011332799999999999,0.010619700000000001,2010-05-21,10063.929688,10198.530273,9918.820313,10193.389648,10193.389648,438220000
70,2009-10,2010,21,2636,2188,1235.0,,,349,6853,633532,1497,0.010817100000000001,0.010890899999999998,2010-05-28,10258.0,10258.0,10095.900391,10136.629883,10136.629883,243720000
71,2009-10,2010,22,2413,2172,1212.0,,,335,6595,549773,1421,0.0119959,0.011776,2010-06-04,10249.610352,10249.69043,9889.879883,9931.969727,9931.969727,256600000
72,2009-10,2010,23,2147,1831,1081.0,,,322,5755,604004,1435,0.00952808,0.009749299999999999,2010-06-11,10166.780273,10215.980469,10082.709961,10211.070313,10211.070313,187890000
73,2009-10,2010,24,1975,1784,978.0,,,240,5316,580329,1405,0.00916032,0.00987132,2010-06-18,10435.0,10483.44043,10424.490234,10450.639648,10450.639648,338010000
74,2009-10,2010,25,2027,1779,882.0,,,249,5334,575664,1384,0.00926582,0.00995991,2010-06-25,10153.480469,10202.910156,10081.080078,10143.80957,10143.80957,434500000
75,2009-10,2010,26,1754,1541,862.0,,,238,4718,542536,1347,0.008696200000000001,0.00904726,2010-07-02,9732.530273,9770.870117,9614.320313,9686.480469,9686.480469,199570000
76,2009-10,2010,27,1753,1566,816.0,,,222,4691,519414,1353,0.00903133,0.00941927,2010-07-09,10138.990234,10201.769531,10118.410156,10198.030273,10198.030273,134810000
77,2009-10,2010,28,1458,1450,819.0,,,209,4234,547187,1284,0.00773776,0.00880415,2010-07-16,10356.200195,10356.200195,10079.580078,10097.900391,10097.900391,335060000
78,2009-10,2010,29,1323,1335,759.0,,,198,3950,531790,1265,0.00742774,0.00842615,2010-07-23,10321.160156,10441.950195,10287.480469,10424.620117,10424.620117,200000000
79,2009-10,2010,30,1290,1279,805.0,,,174,3850,526723,1250,0.00730934,0.00858382,2010-07-30,10465.19043,10507.19043,10347.5,10465.94043,10465.94043,208160000
80,2009-10,2010,31,1381,1357,839.0,,,209,4077,518121,1241,0.00786882,0.0083383,2010-08-06,10668.549805,10668.700195,10515.370117,10653.55957,10653.55957,154870000
81,2009-10,2010,32,1378,1307,809.0,,,214,4008,525260,1212,0.00763051,0.00847437,2010-08-13,10320.330078,10354.919922,10285.44043,10303.150391,10303.150391,151620000
82,2009-10,2010,33,1485,1592,883.0,,,198,4518,537190,1225,0.00841043,0.00888273,2010-08-20,10270.980469,10270.980469,10147.240234,10213.620117,10213.620117,251150000
83,2009-10,2010,34,1520,1592,811.0,,,202,4420,558382,1235,0.00791573,0.00765372,2010-08-27,9982.179688,10159.879883,9936.620117,10150.650391,10150.650391,207760000
84,2009-10,2010,35,1564,1866,1019.0,,,204,5007,548573,1170,0.00912732,0.0091858,2010-09-03,10321.919922,10451.150391,10321.839844,10447.929688,10447.929688,168600000
85,2009-10,2010,36,1850,1959,1076.0,,,234,5493,531250,1198,0.0103398,0.0101432,2010-09-10,10415.009766,10471.280273,10403.169922,10462.769531,10462.769531,140320000
86,2009-10,2010,37,1720,2118,1061.0,,,253,5510,589930,1210,0.00934009,0.010123299999999998,2010-09-17,10595.549805,10650.160156,10567.360352,10607.849609,10607.849609,367230000
87,2009-10,2010,38,2134,2510,1291.0,,,326,6741,623077,1206,0.0108189,0.011180299999999999,2010-09-24,10664.389648,10865.780273,10664.30957,10860.259766,10860.259766,179270000
88,2009-10,2010,39,1995,2383,1269.0,,,294,6387,599366,1254,0.010656299999999999,0.011180599999999999,2010-10-01,10789.719727,10866.540039,10780.639648,10829.679688,10829.679688,161890000
89,2010-11,2010,40,2627,3142,1677.0,,,400,8473,746485,1838,0.0113505,0.011093899999999999,2010-10-08,10948.5,11032.169922,10929.280273,11006.480469,11006.480469,152280000
90,2010-11,2010,41,2953,3522,1779.0,,,444,9347,746230,1875,0.0125256,0.0124341,2010-10-15,11096.009766,11141.19043,11010.679688,11062.780273,11062.780273,319210000
91,2010-11,2010,42,3044,3641,1898.0,,,411,9684,777397,1907,0.012457,0.0125726,2010-10-22,11146.410156,11159.049805,11109.25,11132.55957,11132.55957,104570000
92,2010-11,2010,43,3226,3822,1754.0,,,420,9904,781234,1929,0.0126774,0.0125734,2010-10-29,11120.450195,11131.009766,11075.799805,11118.490234,11118.490234,189650000
93,2010-11,2010,44,3451,4397,1981.0,,,455,11020,766753,1947,0.0143723,0.014341399999999999,2010-11-05,11435.219727,11451.530273,11393.519531,11444.080078,11444.080078,211670000
94,2010-11,2010,45,3927,4679,1956.0,,,511,11807,769982,1940,0.015334100000000002,0.015183799999999999,2010-11-12,11281.280273,11283.700195,11143.839844,11192.580078,11192.580078,217650000
95,2010-11,2010,46,4416,5322,2327.0,,,497,13336,787038,1921,0.016944499999999998,0.0161617,2010-11-19,11180.769531,11206.169922,11119.240234,11203.549805,11203.549805,219400000
96,2010-11,2010,47,4598,4145,2043.0,,,550,12079,606527,1938,0.019915000000000002,0.018437799999999997,2010-11-26,11183.5,11183.5,11067.169922,11091.870117,11091.870117,68400000
97,2010-11,2010,48,5045,4978,2440.0,,,619,13997,772016,1964,0.0181305,0.017253499999999998,2010-12-03,11361.879883,11388.870117,11318.820313,11382.089844,11382.089844,149440000
98,2010-11,2010,49,5060,5867,2511.0,,,627,14958,742606,1936,0.0201426,0.0187923,2010-12-10,11370.05957,11413.69043,11357.719727,11410.320313,11410.320313,151820000
99,2010-11,2010,50,6300,7194,2847.0,,,650,18022,704923,1916,0.025565900000000003,0.023371,2010-12-17,11499.019531,11503.179688,11451.0,11491.910156,11491.910156,358300000
100,2010-11,2010,52,7478,5764,4455.0,,,1068,20346,592880,1887,0.0343172,0.03136,2010-12-31,11569.330078,11597.410156,11530.320313,11577.509766,11577.509766,93330000
