,Date,value,Open,High,Low,Close,Adj Close,Volume
135,2015-07-02,4.0,17763.320313,17825.490234,17687.519531,17730.109375,17730.109375,83080000
136,2015-07-06,4.0,17728.080078,17734.359375,17564.359375,17683.580078,17683.580078,90130000
137,2015-07-07,4.0,17684.919922,17793.449219,17465.679688,17776.910156,17776.910156,105840000
138,2015-07-08,4.0,17759.009766,17759.009766,17496.220703,17515.419922,17515.419922,69830000
139,2015-07-09,4.0,17530.380859,17764.849609,17530.380859,17548.619141,17548.619141,100520000
140,2015-07-10,4.0,17561.119141,17797.490234,17561.119141,17760.410156,17760.410156,85800000
141,2015-07-13,4.0,17787.269531,17987.570313,17787.269531,17977.679688,17977.679688,86380000
142,2015-07-14,4.0,17974.609375,18072.820313,17956.169922,18053.580078,18053.580078,76740000
143,2015-07-15,4.0,18053.380859,18090.390625,18010.150391,18050.169922,18050.169922,80460000
144,2015-07-16,4.0,18078.160156,18131.609375,18065.330078,18120.25,18120.25,85030000
145,2015-07-17,4.0,18117.580078,18121.119141,18032.060547,18086.449219,18086.449219,106510000
146,2015-07-20,4.0,18085.910156,18137.119141,18064.5,18100.410156,18100.410156,75060000
147,2015-07-21,4.0,18096.669922,18096.669922,17868.339844,17919.289063,17919.289063,100170000
148,2015-07-22,4.0,17918.349609,17919.349609,17807.410156,17851.039063,17851.039063,112370000
149,2015-07-23,4.0,17853.779297,17860.949219,17705.029297,17731.919922,17731.919922,88600000
150,2015-07-24,4.0,17731.050781,17756.539063,17553.730469,17568.529297,17568.529297,103470000
151,2015-07-27,4.0,17561.779297,17561.779297,17399.169922,17440.589844,17440.589844,117860000
152,2015-07-28,4.0,17449.810547,17650.070313,17449.810547,17630.269531,17630.269531,103450000
153,2015-07-29,4.0,17631.400391,17776.779297,17629.199219,17751.390625,17751.390625,93140000
154,2015-07-30,4.0,17743.240234,17761.25,17640.849609,17745.980469,17745.980469,76650000
155,2015-07-31,4.0,17755.869141,17783.589844,17671.589844,17689.859375,17689.859375,106120000
156,2015-08-03,4.0,17696.740234,17704.759766,17496.609375,17598.199219,17598.199219,87880000
